RD_east,RD_north,latitude,longitude,osm_class,osm_type
89550.0,432850.0,51.8803353336,4.4366386561,highway,service
89550.0,432950.0,51.881234063,4.4366196681,highway,service
89550.0,433050.0,51.8821327922,4.4366006791,highway,service
89550.0,433150.0,51.8830315213,4.4365816893,highway,service
89550.0,433250.0,51.8839302503,4.4365626986,highway,service
89550.0,433350.0,51.8848289792,4.4365437071,place,house
89550.0,433450.0,51.885727708,4.4365247147,place,house
89550.0,433550.0,51.8866264367,4.4365057214,place,house
89550.0,433650.0,51.8875251653,4.4364867272,place,house
89550.0,433750.0,51.8884238937,4.4364677321,place,house
89550.0,433850.0,51.8893226221,4.4364487362,highway,service
89550.0,433950.0,51.8902213503,4.4364297394,highway,service
89550.0,434050.0,51.8911200784,4.4364107417,highway,service
89550.0,434150.0,51.8920188065,4.4363917432,highway,service
89550.0,434250.0,51.8929175344,4.4363727437,highway,service
89550.0,434350.0,51.8938162622,4.4363537434,highway,service
89550.0,434450.0,51.8947149899,4.4363347423,highway,service
89550.0,434550.0,51.8956137175,4.4363157402,highway,service
89550.0,434650.0,51.8965124449,4.4362967373,highway,service
89550.0,434750.0,51.897411172300004,4.4362777335,highway,pedestrian
89550.0,434850.0,51.8983098995,4.4362587288,highway,pedestrian
89550.0,434950.0,51.8992086267,4.4362397232,emergency,life_ring
89550.0,435050.0,51.9001073537,4.4362207168,emergency,life_ring
89550.0,435150.0,51.9010060806,4.4362017095,emergency,life_ring
89550.0,435250.0,51.9019048074,4.4361827013,highway,cycleway
89550.0,435350.0,51.9028035341,4.4361636922,highway,cycleway
89550.0,435450.0,51.9037022607,4.4361446823,highway,service
89550.0,435550.0,51.9046009872,4.4361256715,highway,service
89550.0,435650.0,51.9054997135,4.4361066598,place,house
89550.0,435750.0,51.9063984398,4.4360876472,place,house
89550.0,435850.0,51.9072971659,4.4360686338,place,house
89550.0,435950.0,51.9081958919,4.4360496195,amenity,car_wash
89550.0,436050.0,51.9090946179,4.4360306043,amenity,fuel
89550.0,436150.0,51.9099933437,4.4360115882,shop,mall
89550.0,436250.0,51.9108920694,4.4359925713,place,house
89550.0,436350.0,51.9117907949,4.4359735534,place,house
89550.0,436450.0,51.9126895204,4.4359545347000005,amenity,school
89550.0,436550.0,51.9135882457,4.4359355152,place,house
89550.0,436650.0,51.914486971,4.4359164947,place,house
89550.0,436750.0,51.9153856961,4.4358974734,place,house
89550.0,436850.0,51.9162844211,4.4358784512,highway,residential
89550.0,436950.0,51.917183146,4.4358594281,place,house
89550.0,437050.0,51.9180818708,4.4358404041,place,house
89550.0,437150.0,51.9189805955,4.4358213793,place,house
89550.0,437250.0,51.91987932,4.4358023536,place,house
89550.0,437350.0,51.9207780445,4.435783327,amenity,childcare
89550.0,437450.0,51.9216767688,4.4357642995,amenity,parking
89550.0,437550.0,51.922575493,4.4357452712,highway,tertiary
89550.0,437650.0,51.9234742172,4.4357262419,highway,cycleway
